2017-05-26,75325,24061,2,6453,4,3,2,0.66666669,-1071607685,0
2017-07-16,74788,13995,3,1003,7.3000002,10,0,0,-1071607685,0
2017-05-26,74570,29125,12,9650,5.8000002,8,5,0.625,-1071607685,0
2017-10-05,29026,7229,5,7963,7.4000001,26,5,0.1923077,-1071607685,0
2017-04-12,83288,16420,15,2650,7.0999999,13,4,0.30769232,-1071607685,0
2017-06-06,76542,2343,9,5002,3.3,9,2,0.22222222,-1071607685,0
2017-06-09,39707,18973,10,8738,4.3000002,29,4,0.13793103,-1071607685,0
2017-04-27,36849,21019,10,1453,6.9000001,7,4,0.5714286,-1071607685,0
2017-02-06,87307,3272,1,799,9.3999996,29,2,6.8965517E-2,-1071607685,0
2017-02-26,10958,7711,14,9802,5,9,4,0.44444445,-1071607685,0
2017-06-19,9422,2328,7,2992,6.6999998,28,4,0.14285715,-1071607685,0
2017-11-29,16646,14534,8,9929,0.89999998,23,0,0,-1071607685,0
2017-06-19,10958,25261,15,8237,8.1000004,19,3,0.15789473,-1071607685,0
2017-06-07,45333,20017,2,3844,4.9000001,14,4,0.2857143,-1071607685,0
2017-03-04,85635,29396,9,1453,5.9000001,17,3,0.17647059,-1071607685,0
2017-12-06,41172,27688,12,1003,3.5999999,4,2,0.5,-1071607685,0
2017-04-06,54343,14931,5,5527,8.1000004,7,2,0.2857143,-1071607685,0
2017-09-09,38057,11332,11,6059,0.89999998,10,5,0.5,-1071607685,0
2017-08-27,87091,5498,11,9761,2.5,12,3,0.25,-1071607685,0
2017-06-17,74852,2056,8,9076,2.2,15,5,0.33333334,-1071607685,0
2017-09-02,15323,22022,2,9121,7.9000001,22,1,4.5454547E-2,-1071607685,0
2017-03-09,29796,23969,1,6181,8.1000004,27,1,3.7037037E-2,-1071607685,0
2017-10-06,68401,20366,5,1027,6.5,29,1,3.4482758E-2,-1071607685,0
2017-03-04,77251,7259,6,2798,0.5,1,5,5,-1071607685,0
2017-02-12,74852,28262,4,622,5.6999998,19,5,0.2631579,-1071607685,0
2017-04-04,16646,22876,13,2798,0.5,4,5,1.25,-1071607685,0
2017-11-14,44947,5039,8,6453,3.5,30,1,3.3333335E-2,-1071607685,0
2017-09-10,74526,26665,3,6181,9.8999996,20,0,0,-1071607685,0
2017-04-01,52894,7682,15,4747,3.3,9,1,0.11111111,-1071607685,0
2017-03-07,52473,13368,13,5996,10,7,2,0.2857143,-1071607685,0
2017-12-27,87307,25557,5,6181,9,29,2,6.8965517E-2,-1071607685,0
2017-10-14,10958,17440,15,5996,7,19,3,0.15789473,-1071607685,0
2017-02-03,90110,3440,1,9958,5.5999999,24,1,4.1666668E-2,-1071607685,0
2017-08-22,49320,21562,11,1453,10,19,3,0.15789473,-1071607685,0
2017-07-25,58848,3435,11,905,6.3000002,1,2,2,-1071607685,0
2017-02-04,68401,18752,14,5996,5,3,5,1.6666666,-1071607685,0
2017-05-31,74582,6441,12,497,9.8999996,20,5,0.25,-1071607685,0
2017-01-29,69298,12393,15,1027,8.3999996,21,5,0.23809524,-1071607685,0
2017-01-17,35986,16498,15,799,1,10,5,0.5,-1071607685,0
2017-03-25,52473,1171,6,5002,8.3999996,8,2,0.25,-1071607685,0
2017-11-22,87563,520,15,9802,6.8000002,11,4,0.36363637,-1071607685,0
2017-11-26,9713,19458,3,6171,6.5999999,2,3,1.5,-1071607685,0
2017-04-29,9713,20907,13,9929,5.9000001,7,0,0,-1071607685,0
2017-11-24,3860,6762,7,1027,7.5,22,4,0.18181819,-1071607685,0
2017-06-18,35309,18501,12,5002,3,30,5,0.16666667,-1071607685,0
2017-07-23,88592,18428,7,1599,9.1999998,30,1,3.3333335E-2,-1071607685,0
